album,artist,track_name,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,temp,time_signature
The Chronic,Dr. Dre,Kid Nothing Boy vs. the Echo Factor,spotify:track:1tlr4UNSmIimhZPXoPH16l,229456,0.651,0.575,0,-7.739,1,0.299,0.627,0.000202,0.0961,0.248,160.007,4
The Chronic,Dr. Dre,Band Aids,spotify:track:7mSngvDYGZHLqIAdqXmWSK,224512,0.855,0.512,11,-8.165,1,0.0534,0.146,0.000854,0.107,0.144,146.075,4
OK Computer,Radiohead,Airbag,spotify:track:7c378mlmubSu7NGkLFa4sN,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4
OK Computer,Radiohead,Paranoid Android,spotify:track:6LgJvl0Xdtc73RJ1mmpotq,255080,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,4
OK Computer,Radiohead,Subterranean Homesick Alien,spotify:track:2CVV8PtUYYsux8XOzWkCP0,218920,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
OK Computer,Radiohead,Exit Music (For A Film),spotify:track:0z1o5L7HJx562xZSATcIpY,184040,0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,4
OK Computer,Radiohead,Let Down,spotify:track:2fuYa3Lx06QQJAm0MjztKr,257053,0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
OK Computer,Radiohead,Karma Police,spotify:track:63OQupATfueTdZMWTxW03A,173853,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,4
OK Computer,Radiohead,Fitter Happier,spotify:track:6wnmRxEbwUK7WLyUtiRuT7,142947,0.285,0.979,2,-4.428,1,0.175,0.000144,0,0.334,0.108,182.7,4
OK Computer,Radiohead,Electioneering,spotify:track:0gTRROuntlrPQ64W3J2Etv,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
OK Computer,Radiohead,Climbing Up the Walls,spotify:track:2PDQReEXBViVwkrbQ34vd7,156427,0.341,0.964,11,-5.327,0,0.107,1.26e-05,0.000103,0.151,0.459,152.192,4
OK Computer,Radiohead,No Surprises,spotify:track:10nyNJ6zNy2YVYLrcwLccB,211440,0.367,0.981,11,-5.1,0,0.128,5.39e-06,0.0461,0.0822,0.205,165.21,4
OK Computer,Radiohead,Lucky,spotify:track:14xj58ZexBaEaHARb11Cqs,194427,0.428,0.946,2,-4.674,1,0.102,0.000119,3.37e-06,0.141,0.358,133.26,4
OK Computer,Radiohead,The Tourist,spotify:track:1UuaWKypSkIHxFZD03zw4m,232147,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
The Battle Of Los Angeles,Rage Against the Machine,Testify,spotify:track:7lmeHLHBe4nmXzuXc0HDjk,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4
The Battle Of Los Angeles,Rage Against the Machine,Guerrilla Radio,spotify:track:1wsRitfRRtWyEapl0q22o8,255080,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,4
The Battle Of Los Angeles,Rage Against the Machine,Calm Like a Bomb,spotify:track:1hR0fIFK2qRG3f3RF70pb7,218920,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
The Battle Of Los Angeles,Rage Against the Machine,Mic Check,spotify:track:2lbASgTSoDO7MTuLAXlTW0,184040,0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,4
The Battle Of Los Angeles,Rage Against the Machine,Sleep Now In the Fire,spotify:track:1MQTmpYOZ6fcMQc56Hdo7T,257053,0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
The Battle Of Los Angeles,Rage Against the Machine,Born of a Broken Man,spotify:track:2LXPNLSMAauNJfnC58lSqY,173853,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,4
The Battle Of Los Angeles,Rage Against the Machine,Born As Ghosts,spotify:track:3moeHk8eIajvUEzVocXukf,142947,0.285,0.979,2,-4.428,1,0.175,0.000144,0,0.334,0.108,182.7,4
The Battle Of Los Angeles,Rage Against the Machine,Maria,spotify:track:4llunZfVXv3NvUzXVB3VVL,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
The Battle Of Los Angeles,Rage Against the Machine,Voice of the Voiceless,spotify:track:21Mq0NzFoVRvOmLTOnJjng,156427,0.341,0.964,11,-5.327,0,0.107,1.26e-05,0.000103,0.151,0.459,152.192,4
The Battle Of Los Angeles,Rage Against the Machine,New Millennium Homes,spotify:track:6s2FgJbnnMwFTpWJZzvb6z,211440,0.367,0.981,11,-5.1,0,0.128,5.39e-06,0.0461,0.0822,0.205,165.21,4
The Battle Of Los Angeles,Rage Against the Machine,Ashes In the Fall,spotify:track:7o2Razxnl33Jrgz4PpMYNa,194427,0.428,0.946,2,-4.674,1,0.102,0.000119,3.37e-06,0.141,0.358,133.26,4
The Battle Of Los Angeles,Rage Against the Machine,War Within a Breath,spotify:track:3Hxu3Ey1TV9mZ5XqMXckiS,232147,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
Sublime,Sublime,Garden Grove,spotify:track:5tFpkuwgFZQm3jv4PTX4VB,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4
Sublime,Sublime,What I Got,spotify:track:3B4q6KbHbGV51HO3GznBFF,255080,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,4
Sublime,Sublime,Wrong Way,spotify:track:2PdIo7ewQPuAsP99LVg9uy,218920,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
Sublime,Sublime,Same In The End,spotify:track:3kGt9uxpJzKTxwp2uJHrU5,184040,0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,4
Sublime,Sublime,April 29 1992 (Miami),spotify:track:2CLSHTGF4jYXx2RCz1h0dS,257053,0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
Sublime,Sublime,Santeria,spotify:track:2hnMS47jN0etwvFPzYk11f,173853,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,4
Sublime,Sublime,Seed,spotify:track:2PkqXRMFpp3jDTbHQMIaEt,142947,0.285,0.979,2,-4.428,1,0.175,0.000144,0,0.334,0.108,182.7,4
Sublime,Sublime,Jailhouse,spotify:track:01ZoBkMJAxjPx5gQcNR7Yl,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
Sublime,Sublime,Pawn Shop,spotify:track:4DXrhZ4tF3BeVm2aLdhdKG,156427,0.341,0.964,11,-5.327,0,0.107,1.26e-05,0.000103,0.151,0.459,152.192,4
Sublime,Sublime,Paddle Out,spotify:track:1YF9KXxz9ZFwfe39wUoeeE,211440,0.367,0.981,11,-5.1,0,0.128,5.39e-06,0.0461,0.0822,0.205,165.21,4
Sublime,Sublime,The Ballad Of Johnny Butt,spotify:track:1HR7HJpYDNK495Ei5FWSIM,194427,0.428,0.946,2,-4.674,1,0.102,0.000119,3.37e-06,0.141,0.358,133.26,4
Sublime,Sublime,Burritos,spotify:track:18bt6V3IWTCp68uk5xxdtz,232147,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
Sublime,Sublime,Under My Voodoo,spotify:track:650LnPjfwKIn1Lzwnmiscj,403293,0.271,0.959,7,-5.866,1,0.125,0.000256,0.854,0.0858,0.0642,131.846,4
Sublime,Sublime,Get Ready,spotify:track:1ZnEt1m6su6qBHXncpLt01,236216,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,4
Sublime,Sublime,Caress Me Down,spotify:track:2JKlf0IYz5oWsT3OCLyjpO,170509,0.85,0.5,8,-6.708,1,0.0665,0.0139,0.000384,0.0947,0.816,160.02,4
Sublime,Sublime,What I Got - Reprise,spotify:track:4U81vDKgj0QyxtcVl8IKCu,159229,0.727,0.58,2,-6.804,0,0.136,0.185,3.58e-06,0.125,0.325,137.048,4
Sublime,Sublime,Doin' Time,spotify:track:4eamJr2k9YDH8j58RSTmSc,229456,0.651,0.575,0,-7.739,1,0.299,0.627,0.000202,0.0961,0.248,160.007,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,The Power of Equality,spotify:track:0eX5QY6o5cb9W72zVmWWjV,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,If You Have to Ask,spotify:track:2R6go62CuxqqX0w1TgXxes,255080,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Breaking the Girl,spotify:track:0cG9ocYqYOIVtgiWTmTe3g,218920,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Funky Monks,spotify:track:68uWKoPwSxYE6DVylRA1XI,184040,0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Suck My Kiss,spotify:track:0psB5QzGb4653K0uaPgEyh,257053,0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,I Could Have Lied,spotify:track:0NSbiBKXoODbsPwjSivfBr,173853,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Mellowship Slinky in B Major,spotify:track:5TYQonY07iJP2ULhR4ptce,142947,0.285,0.979,2,-4.428,1,0.175,0.000144,0,0.334,0.108,182.7,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,The Righteous & the Wicked,spotify:track:5ITOTuCOy6y4PB55CSZADE,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Give It Away,spotify:track:0uppYCG86ajpV2hSR3dJJ0,156427,0.341,0.964,11,-5.327,0,0.107,1.26e-05,0.000103,0.151,0.459,152.192,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Blood Sugar Sex Magik,spotify:track:4ddA4oHvhrGx196qF5ZyQe,211440,0.367,0.981,11,-5.1,0,0.128,5.39e-06,0.0461,0.0822,0.205,165.21,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Under the Bridge,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,194427,0.428,0.946,2,-4.674,1,0.102,0.000119,3.37e-06,0.141,0.358,133.26,4
