album,artist,track_name,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,temp,time_signature
Tapestry,Carole King,Will You Love Me Tomorrow?,spotify:track:7qVd0TKcUDUdVaUogsGm4H,681400,0.432,0.605,4,-6.941,1,0.0306,0.673,0,0.129,0.647,109.227,4
Tapestry,Carole King,Smackwater Jack,spotify:track:0PrW6YZOBGeukTkvJsSIV3,122893,0.451,0.673,7,-9.115,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,4
Tapestry,Carole King,Tapestry,spotify:track:4kCS2MgX5dQFyqHy21MzJG,164107,0.705,0.515,4,-9.343,1,0.0337,0.365,0,0.389,0.803,112.035,4
Tapestry,Carole King,(You Make Me Feel Like) A Natural Woman,spotify:track:0LXljhKMUgoLv8tLwZ1hmf,208467,0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,1
Led Zeppelin IV,Led Zeppelin,Black Dog - Remaster,spotify:track:3qT4bUD1MaWpGrTwcvguhb,369600,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
Led Zeppelin IV,Led Zeppelin,Rock and Roll - Remaster,spotify:track:4PRGxHpCpF2yoOHYKQIEwD,356227,0.504,0.808,11,-7.25,1,0.0584,0.408,0,0.316,0.653,123.866,4
Led Zeppelin IV,Led Zeppelin,The Battle of Evermore - Remaster,spotify:track:6MSoJM9UIFHozmBCduQRje,245133,0.493,0.579,8,-7.743,1,0.0319,0.772,8.06E-05,0.0759,0.475,93.353,4
Led Zeppelin IV,Led Zeppelin,Stairway to Heaven - Remaster,spotify:track:5CQ30WqJwcep0pYcV4AMNc,195693,0.287,0.72,0,-6.231,1,0.0347,0.756,3.41E-06,0.263,0.709,176.302,4
Led Zeppelin IV,Led Zeppelin,Misty Mountain Hop - Remaster,spotify:track:5NnZ4JJxWiqqhYNu3rwmFj,356707,0.473,0.574,11,-8.189,0,0.032,0.695,0,0.509,0.499,74.056,4
Led Zeppelin IV,Led Zeppelin,Four Sticks - Remaster,spotify:track:4Sc5qEOSFI5rfS9IDyu0GO,327467,0.369,0.691,0,-6.234,1,0.0387,0.778,1.39E-05,0.327,0.382,104.371,4
Led Zeppelin IV,Led Zeppelin,Going to California - Remaster,spotify:track:70gbuMqwNBE2Y5rkQJE9By,205827,0.49,0.808,10,-6.725,1,0.0409,0.475,0,0.232,0.604,73.434,4
Led Zeppelin IV,Led Zeppelin,When the Levee Breaks - Remaster,spotify:track:05f8Hg3RSfiPSCBQOtxl3i,327560,0.497,0.511,7,-8.318,1,0.0271,0.702,0,0.262,0.591,99.5,4
Led Zeppelin IV,Led Zeppelin,Black Dog - Basic Track with Guitar Overdubs,spotify:track:59Zl5fFDhkGhFv0TGeyqbv,681400,0.432,0.605,4,-6.941,1,0.0306,0.673,0,0.129,0.647,109.227,4
Led Zeppelin IV,Led Zeppelin,Rock and Roll - Alternate Mix,spotify:track:35a7EjRYYLLyH4prB1zExl,122893,0.451,0.673,7,-9.115,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,4
Led Zeppelin IV,Led Zeppelin,The Battle of Evermore - Mandolin / Guitar Mix from Headley Grange,spotify:track:3gyroWpKKzkVkOhLJ57Tv5,164107,0.705,0.515,4,-9.343,1,0.0337,0.365,0,0.389,0.803,112.035,4
Led Zeppelin IV,Led Zeppelin,Stairway to Heaven - Sunset Sound Mix,spotify:track:7llNWna9CEKr88Ng4vAwiI,208467,0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,1
Led Zeppelin IV,Led Zeppelin,Misty Mountain Hop - Alternate Mix,spotify:track:05BTaDBhGylMDjupCczCwC,168120,0.632,0.471,0,-7.887,1,0.0348,0.313,5.08E-06,0.0712,0.764,121.672,4
Led Zeppelin IV,Led Zeppelin,Four Sticks - Alternate Mix,spotify:track:4Y4xWuvM7MKGKxECXfnKtV,156827,0.469,0.507,0,-8.917,0,0.0451,0.382,0,0.0783,0.619,112.984,4
Led Zeppelin IV,Led Zeppelin,Going to California - Mandolin / Guitar Mix,spotify:track:7s2HYAN8PSba9OGqgTL7mo,215160,0.381,0.214,4,-11.629,1,0.0337,0.944,0,0.106,0.393,127.581,3
Led Zeppelin IV,Led Zeppelin,When the Levee Breaks - Alternate UK Mix in Progress,spotify:track:1zLAyTaKUdiZSmOifuu2kv,157533,0.526,0.413,0,-9.865,1,0.0446,0.338,0,0.0992,0.71,111.874,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Rocks Off,spotify:track:1m8cwYJxSWNGxscZQOzQ7F,369600,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Rip This Joint,spotify:track:5F5UNt3WBzmUJ3irvfAi8w,356227,0.504,0.808,11,-7.25,1,0.0584,0.408,0,0.316,0.653,123.866,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Shake Your Hips,spotify:track:3JhfyWKIYR3opA4DpHxP1w,245133,0.493,0.579,8,-7.743,1,0.0319,0.772,8.06E-05,0.0759,0.475,93.353,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Casino Boogie,spotify:track:4vUBoA4crmrgd97GH8j01B,195693,0.287,0.72,0,-6.231,1,0.0347,0.756,3.41E-06,0.263,0.709,176.302,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Tumbling Dice,spotify:track:6DjtOcS3xQO8LETk8O4qgE,356707,0.473,0.574,11,-8.189,0,0.032,0.695,0,0.509,0.499,74.056,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Sweet Virginia,spotify:track:3thuVspq7oLlgDE7d7HTqz,327467,0.369,0.691,0,-6.234,1,0.0387,0.778,1.39E-05,0.327,0.382,104.371,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Torn And Frayed,spotify:track:6dE1etqLwt5GUUBVQdIgBB,205827,0.49,0.808,10,-6.725,1,0.0409,0.475,0,0.232,0.604,73.434,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Sweet Black Angel,spotify:track:4Cg8Nl5JjI4Df0AMbm18u7,327560,0.497,0.511,7,-8.318,1,0.0271,0.702,0,0.262,0.591,99.5,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Loving Cup,spotify:track:34OzAaQeAWlFnZBSyUAtRh,681400,0.432,0.605,4,-6.941,1,0.0306,0.673,0,0.129,0.647,109.227,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Happy,spotify:track:5fXRPS1tp70DbqsBZVyG4e,122893,0.451,0.673,7,-9.115,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Turd On The Run,spotify:track:3aZyQJSjtrzPXi670Dp7dN,164107,0.705,0.515,4,-9.343,1,0.0337,0.365,0,0.389,0.803,112.035,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Ventilator Blues,spotify:track:4qI7G7K9MNbekIXmCI3m18,208467,0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,1
Exile On Main Street (Deluxe Version),The Rolling Stones,I Just Want To See His Face,spotify:track:2s9SV3uTSdEf2Z3pSfou6d,168120,0.632,0.471,0,-7.887,1,0.0348,0.313,5.08E-06,0.0712,0.764,121.672,4
Exile On Main Street (Deluxe Version),The Rolling Stones,Let It Loose,spotify:track:7D2f7zoIwRxeIhmeer8aWm,156827,0.469,0.507,0,-8.917,0,0.0451,0.382,0,0.0783,0.619,112.984,4
